"Species","Common","IUIS Allergen","Type","Group","Length","GI#","First Version"
"Lepidorhombus whiffiagonis","","Unassigned","Food Animal","Lepidorhombus Lep w 1 parvalbumin","109","208608078","10"
"Litopenaeus vannamei","","Unassigned","Food Animal","Litopenaeus  Lit v 4 sarcoplasmic Ca+ binding","193","223403273","11"
"Litopenaeus vannamei","","Unassigned","Food Animal","Litopenaeus Lit v 2","356","115492980","8"
"Litopenaeus vannamei","","Unassigned","Food Animal","Litopenaeus Lit v 3 myosin","177","184198734","10"
"Lupinus angustifolius","","Unassigned","Food Plant","Lupinus conglutin beta","521","149208401","9"
"Lupinus angustifolius","","Unassigned","Food Plant","Lupinus conglutin beta","455","149208403","9"
"Lupinus angustifolius","","Unassigned","Food Plant","Lupinus conglutin beta","611","169950562","10"
"Macrobrachium rosenbergii","","Unassigned","Food Animal","Macrobrachium rosenbergii shrimp tropomyosin","284","288819271","11"
"Marsupenaeus japonicus","","Unassigned","Food Animal","Marsupenaeus tropomyosin","284","125995159","8"
"Neptunea polycostata","","Unassigned","Food Animal","Neptunea tropomyosin","284","219806590","10"
"Octopus vulgaris","","Unassigned","Food Animal","Octopus tropomyosin","284","83715936","7"
"Ommastrephes bartramii","","Unassigned","Food Animal","Ommastrephes tropomyosin","284","83715934","7"
"Oncorhynchus mykiss","","Unassigned","Food Animal","Oncorhynchus Rainbow trout parv Onc m 1","108","288559139","11"
"Oncorhynchus mykiss","","Unassigned","Food Animal","Oncorhynchus Rainbow trout parv Onc m 1","107","288559140","11"
"Oratosquilla oratoria","","Unassigned","Food Animal","Oratosquilla tropomyosin","284","162286975","9"
"Ostrya carpinifolia","","Unassigned","Aero Plant","Ostrya Ost c 1pollen allergen","160","300872535","12"
"Pachycondyla chinensis","","Unassigned","Venom or Salivary","Pachycondyla Pac c 3 allergen","199","169822894","10"
"Pandalus borealis","","Unassigned","Food Animal","Pandalus Pan b 1","284","312831088","12"
"Pandalus eous","","Unassigned","Food Animal","Pandalus Pan b 1","284","125995161","8"
"Paralithodes camtschaticus","","Unassigned","Food Animal","Paralithodes tropomyosin","284","125995163","8"
"Paralithodes camtschaticus","","Unassigned","Food Animal","Paralithodes tropomyosin","284","125995165","8"
"Pistacia vera","","Unassigned","Food Plant","Pistacia 11S globulin","472","156001070","9"
"Pistacia vera","","Unassigned","Food Plant","Pistacia 11S globulin","496","110349083","10"
"Pistacia vera","","Unassigned","Food Plant","Pistacia 11S globulin","472","110349085","10"
"Pistacia vera","","Unassigned","Food Plant","Pistacia Pis v 1 2S albumin","149","110349081","10"
"Pistacia vera","","Unassigned","Food Plant","Pistacia Pis v 3 vicilin","519","133711974","10"
"Platanus orientalis","","Unassigned","Aero Plant","Platanus Pla or 1","170","162949336","9"
"Protortonia cacti","","Unassigned","Food Animal","Protortonia","335","237769615","11"
"Prunus dulcis x Prunus persica","","Unassigned","Food Plant","Prunus Almond-peach hybr profilin Pru 4","131","190613933","10"
"Prunus dulcis x Prunus persica","","Unassigned","Food Plant","Prunus Almond-peach hybr profilin Pru 4","131","190613937","10"
"Prunus dulcis x Prunus persica","","Pru p 2.0201","Food Plant","Prunus persica Pru p 2","246","190613907","10"
"Prunus dulcis x Prunus persica","","Pru p 2.0101","Food Plant","Prunus persica Pru p 2","246","190613911","10"
"Prunus dulcis x Prunus persica","","Pru p 2.0301","Food Plant","Prunus persica Pru p 2","242","190613903","10"
"Pseudocardium sachalinensis","","Unassigned","Food Animal","Pseudocardium tropomyosin","284","219806598","10"
"Rubus idaeus","","Unassigned","Food Plant","Rubus putative allergen Rub i 1","137","110180525","8"
"Rubus idaeus","","Unassigned","Food Plant","Rubus putative allergen Rub i 3","117","110180523","8"
"Sardinops sagax","","Unassigned","Food Animal","Sardinops Sar sa 1 parvalbumin","109","193247972","10"
"Scapharca broughtonii","","Unassigned","Food Animal","Scapharca tropomyosin","284","219806592","10"
"Sepia esculenta","","Unassigned","Food Animal","Sepia tropomyosin","284","83715928","7"
"Sepioteuthis lessoniana","","Unassigned","Food Animal","Sepioteuthis tropomyosin","284","83715930","7"
"Solen strictus","","Unassigned","Food Animal","Solen tropomyosin","284","219806602","10"
"Staphylococcus aureus","","Unassigned","Bacteria skin","Staphylococcus enterotoxin SEA","233","1633233","9"
"Staphylococcus aureus","","Unassigned","Bacteria skin","Staphylococcus enterotoxin SEB","254","83308249","9"
"Staphylococcus aureus","","Unassigned","Bacteria skin","Staphylococcus enterotoxin SEC","266","462026","9"
"Staphylococcus aureus","","Unassigned","Bacteria skin","Staphylococcus enterotoxin SED","258","119654","9"
"Staphylococcus aureus","","Unassigned","Bacteria skin","Staphylococcus enterotoxin TSST 1","234","136457","9"
"Suidasia medanensis","","Unassigned","Aero Mite","Suidasia putative Sui m 2","141","45738062","7"
"Trachurus japonicus","","Unassigned","Food Animal","Trachurus parvalbumin","107","77799800","7"
"Tresus keenae","","Unassigned","Food Animal","Tresus tropomyosin","284","219806600","10"
"Vigna radiata","","Unassigned","Food Plant","Vigna Vig r 1 PR 10","155","60418924","7"
"Xiphias gladius","","Unassigned","Food Animal","Xiphias Xip g 1 beta-parvalbumin","109","222352960","10"
"Haliotis diversicolor","Abalone","Unassigned","Food Animal","Haliotis Hal m 1 tropomyosin","284","9954249","7"
"Theragra chalcogramma","Alaska pollock","Unassigned","Food Animal","Theragra parvalbumin","109","14531020","7"
"Theragra chalcogramma","Alaska pollock","Unassigned","Food Animal","Theragra parvalbumin","109","14531018","7"
"Alnus glutinosa","Alder","Aln g 1","Aero Plant","Alnus Aln g 1","160","261407","7"
"Alnus glutinosa","Alder","Unassigned","Aero Plant","Alnus Aln g 4","85","3319651","7"
"Prunus dulcis","Almond","Pru du 4","Food Plant","Prunus Pru 4 Profilin","131","24473794","7"
"Prunus dulcis","Almond","Unassigned","Food Plant","Prunus Pru du 6 Amandin","531","258588247","11"
"Prunus dulcis","Almond","Unassigned","Food Plant","Prunus Seed allergenic protein 2 (Conglutin gamma)","25","75107131","8"
"Crassostrea gigas","American  oyster","Unassigned","Food Animal","Crassostrea Tropomyosin","233","15419048","7"
"Crassostrea gigas","American  oyster","Unassigned","Food Animal","Crassostrea Tropomyosin","284","219806594","10"
"Periplaneta americana","American cockroach","Per a 7.0101","Aero Insect","Periplaneta Per 7","284","4378573","7"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta Per 7","284","14423957","9"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta Per 7","284","239740599","11"
"Periplaneta americana","American cockroach","Per a 1","Aero Insect","Periplaneta Per a 1","446","2231297","7"
"Periplaneta americana","American cockroach","Per a 1.0104","Aero Insect","Periplaneta Per a 1","274","2253610","7"
"Periplaneta americana","American cockroach","Per a 1","Aero Insect","Periplaneta Per a 1","395","2580504","7"
"Periplaneta americana","American cockroach","Per a 1.0102","Aero Insect","Periplaneta Per a 1","228","2897849","7"
"Periplaneta americana","American cockroach","Per a 1.0101","Aero Insect","Periplaneta Per a 1","231","4240399","7"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta Per a 1","124","30144660","7"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta Per a 1","395","284518361","11"
"Periplaneta americana","American cockroach","Per a 3.0201","Aero Insect","Periplaneta Per a 3","631","1531589","7"
"Periplaneta americana","American cockroach","Per a 3.0202","Aero Insect","Periplaneta Per a 3","470","1580794","7"
"Periplaneta americana","American cockroach","Per a 3.0203","Aero Insect","Periplaneta Per a 3","393","1580797","7"
"Periplaneta americana","American cockroach","Per a 3.0101","Aero Insect","Periplaneta Per a 3","685","2833325","9"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta Per a 3","688","284518363","11"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta Per a 3","685","289721058","11"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta putative Per a 4","183","60678787","7"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta putative Per a 4","163","215794707","10"
"Periplaneta americana","American cockroach","Unassigned","Aero Insect","Periplaneta putative Per a 4","167","212675312","10"
"Homarus americanus","American lobster","Unassigned","Food Animal","Homarus Tropomyosin","284","2660868","7"
"Homarus americanus","American lobster","Unassigned","Food Animal","Homarus Tropomyosin","284","14285796","7"
"Mercurialis annua","Annual mercury grass","Mer a 1","Aero Plant","Mercurialis Mer a 1","133","2959898","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","1313966","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","4590364","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","4590366","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","4590368","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","4590376","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","4590378","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","4590380","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","4590382","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","4590388","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","16555783","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","27922941","7"
"Malus x domestica","Apple","Mal d 1","Food Plant","Malus Mal d 1","159","1346478","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 1","159","60280829","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 1","159","60280851","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 1","159","42558971","9"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 1","159","75306008","11"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 1","159","75306007","11"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 1","159","886683","11"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","26","1478293","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","246","60418842","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","246","60418848","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","246","30316292","8"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","158","218059718","10"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","158","218059715","10"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","115","50659891","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","115","50659889","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","115","50659885","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","115","50659879","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","115","50659859","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","115","38492338","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","115","14423814","9"
"Malus x domestica","Apple","Mal d 4","Food Plant","Malus Mal d 4","131","14423873","7"
"Malus x domestica","Apple","Mal d 4","Food Plant","Malus Mal d 4","131","14423874","7"
"Malus x domestica","Apple","Mal d 4","Food Plant","Malus Mal d 4","131","14423875","7"
"Malus x domestica","Apple","Mal d 4","Food Plant","Malus Mal d 4","131","28881453","7"
"Malus x domestica","Apple","Mal d 4","Food Plant","Malus Mal d 4","131","28881457","7"
"Malus x domestica","Apple","Mal d 4","Food Plant","Malus Mal d 4","131","28881455","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","131","60418854","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","131","60418858","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","131","60418862","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","131","60418866","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","131","164510842","9"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","131","164510858","9"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","131","164510860","9"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","77","218059730","10"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","115","218059733","10"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","131","218059728","10"
"Prunus armeniaca","Apricot","Unassigned","Food Plant","Prunus Pru 3","119","313575730","12"
"Prunus armeniaca","Apricot","Unassigned","Food Plant","Prunus Pru 3","117","313575732","12"
"Prunus armeniaca","Apricot","Unassigned","Food Plant","Prunus Pru 3","117","313575734","12"
"Prunus armeniaca","Apricot","Unassigned","Food Plant","Prunus Pru 3","117","313575736","12"
"Cupressus arizonica","Arizona Cypress","Cup a 1","Aero Plant","Cupressus Cup a 1","367","19069497","7"
"Cupressus arizonica","Arizona Cypress","Unassigned","Aero Plant","Cupressus Cup a 1","347","118197955","8"
"Cupressus arizonica","Arizona Cypress","Unassigned","Aero Plant","Cupressus Cup a 1","346","9087167","9"
"Cupressus arizonica","Arizona Cypress","Unassigned","Aero Plant","Cupressus Cup s 3","199","9929163","7"
"Cupressus arizonica","Arizona Cypress","Unassigned","Aero Plant","Cupressus putative allergen Cup a 4","165","261865475","11"
"Perna viridis","Asian green mussell","Unassigned","Food Animal","Perna Tropomyosin","284","9954251","7"
"Gadus morhua","Atlantic cod","Unassigned","Food Animal","Gadus Gad c 1","109","14531014","7"
"Gadus morhua","Atlantic cod","Unassigned","Food Animal","Gadus Gad c 1","109","14531016","7"
"Gadus morhua","Atlantic cod","Unassigned","Food Animal","Gadus Gad c 1","109","148356691","9"
"Gadus morhua","Atlantic cod","Unassigned","Food Animal","Gadus Gad c 1","109","148356693","9"
"Scomber scombrus","Atlantic mackerel","Unassigned","Food Animal","Scomber Parvalbumin","109","288557436","11"
"Persea americana","Avocado","Pers a 1","Food Plant","Persea Pers a 1","326","3201547","7"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum group 13 pollen allergen","169","338930686","12"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum group 13 pollen allergen","169","338930684","12"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum group 13 pollen allergen","169","338930682","12"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum group 13 pollen allergen","169","338930680","12"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum group 13 pollen allergen","393","338930678","12"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum group 13 pollen allergen","393","338930676","12"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum group 13 pollen allergen","391","338930674","12"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum group 13 pollen allergen","395","338930672","12"
"Paspalum notatum","Bahia grass","Unassigned","Aero Plant","Paspalum Pas n 1 beta expansin","265","168419914","10"
"Gadus callarias","Baltic cod","Gad c 1","Food Animal","Gadus Gad c 1","113","131112","7"
"Musa acuminata","Banana","Mus xp 1","Food Plant","Musa profilin banana","131","14161635","7"
"Hordeum vulgare","Barley","Unassigned","Aero Plant","Hordeum Alpha-amylase inhibitor component CMb","149","585290","7"
"Hordeum vulgare","Barley","Hor v 15","Aero Plant","Hordeum Hor v 15","146","2506771","7"
"Hordeum vulgare","Barley","Unassigned","Aero Plant","Hordeum LTP 1","117","167077","7"
"Hordeum vulgare","Barley","Unassigned","Food Plant","Hordeum LTP 1","134","19039","7"
"Hordeum vulgare","Barley","Unassigned","Aero Plant","Hordeum Trypsin inhibitor CMe","144","1405736","7"
"Hordeum vulgare subsp. vulgare","Barley","Unassigned","Aero Plant","Hordeum Alpha-amylase inhibitor BDAI-1","152","3367714","7"
"Hordeum vulgare subsp. vulgare","Barley","Unassigned","Aero Plant","Hordeum Alpha-amylase inhibitor component Cma","144","18955","7"
"Hordeum vulgare subsp. vulgare","Barley","Unassigned","Aero Plant","Hordeum Alpha-amylase inhibitor component Cma","145","439275","7"
"Hordeum vulgare subsp. vulgare","Barley","Unassigned","Aero Plant","Hordeum Trypsin inhibitor CMe","148","19009","7"
"Capsicum annuum","Bell pepper","Cap a 2","Food Plant","Capsicum Cap a 2","131","16555785","7"
"Agrostis alba","Bent grass","Unassigned","Aero Plant","Agrostis Agr a 1","26","320606","7"
"Agrostis alba","Bent grass","Unassigned","Aero Plant","Agrostis Agr a 1","35","75139987","7"
"Agrostis alba","Bent grass","Unassigned","Aero Plant","Agrostis Agr a 1","35","75139989","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","25","451274","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","38","451275","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","34","691726","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0204","Aero Plant","Cynodon Cyn d 1","244","10314021","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","246","14423757","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0201","Aero Plant","Cynodon Cyn d 1","244","15384338","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0202","Aero Plant","Cynodon Cyn d 1","262","16076693","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","262","16076695","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0203","Aero Plant","Cynodon Cyn d 1","262","16076697","7"
"Cynodon dactylon","Bermuda grass","Cyn d 12","Aero Plant","Cynodon Cyn d 12","131","2154730","7"
"Cynodon dactylon","Bermuda grass","Unassigned","Aero Plant","Cynodon Cyn d 7","71","1247373","7"
"Cynodon dactylon","Bermuda grass","Unassigned","Aero Plant","Cynodon Cyn d 7","73","1247375","7"
"Cynodon dactylon","Bermuda grass","Cyn d 7","Aero Plant","Cynodon Cyn d 7","82","1871507","7"
"Betula sp.","Birch","Unassigned","Aero Plant","Betula Bet v 1","51","298736","7"
"Betula sp.","Birch","Unassigned","Aero Plant","Betula Bet v 1b","51","298737","7"
"Forcipomyia taiwana","biting midges","Unassigned","Venom or Salivary","Forcipomyia For t 1","118","188572341","10"
"Forcipomyia taiwana","biting midges","Unassigned","Venom or Salivary","Forcipomyia For t 2","325","188572343","10"
"Solenopsis richteri","Black fire ant","Unassigned","Venom or Salivary","Solenopsis Sol i and Sol r Venom allergen II","119","6136162","7"
"Solenopsis richteri","Black fire ant","Unassigned","Venom or Salivary","Solenopsis Venom allergen III","211","6136163","7"
"Morus nigra","Black mulberry","Unassigned","Food Plant","Morus Mor n 3 mulberry LTP","91","288561913","11"
"Penaeus monodon","Black tiger shrimp","Unassigned","Food Animal","Penaeus Pen m 1 tropomyosin","284","125995157","8"
"Penaeus monodon","Black tiger shrimp","Pen m 2","Food Animal","Penaeus Pen m 2","356","27463265","7"
"Penaeus monodon","Black tiger shrimp","Unassigned","Food Animal","Penaeus Pen m 2","356","308154236","12"
"Penaeus monodon","Black tiger shrimp","Unassigned","Food Animal","Penaeus Pen m 3 myosin light chain","177","317383196","12"
"Penaeus monodon","Black tiger shrimp","Unassigned","Food Animal","Penaeus Pen m 4 sarcoplasmic calcium binding","193","317383198","12"
"Juglans nigra","Black walnut","Jug n 1","Food Plant","Juglans Jug r 1","161","31321942","7"
"Juglans nigra","Black walnut","Jug n 2","Food Plant","Juglans Jug r 2","481","31321944","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","93","162650","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","214","162792","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","214","162794","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","76","162927","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","205","159793197","9"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","172","159793201","9"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","129","159793217","9"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s2-like casein","222","162929","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Beta-casein","224","162797","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Beta-casein","224","162805","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Beta-casein","224","162931","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Beta-casein","224","459292","7"
"Bos taurus","Bovine","Unassigned","Aero Animal","Bos Bos d 2","172","2497701","9"
"Bos taurus","Bovine","Bos d 3","Aero Animal","Bos Bos d 3","101","2493414","7"
"Bos taurus","Bovine","Bos d 4","Food Animal","Bos Bos d 4","142","295774","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 4","142","125996","9"
"Bos taurus","Bovine","Bos d 5","Food Animal","Bos Bos d 5","178","520","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 5","14","162750","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 5","178","125910","9"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 5","178","195957138","10"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 6","607","3336842","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 6","607","1351907","10"
"Bos taurus","Bovine","Unassigned","Vaccine","Bos collagen alpha2","1364","27806257","11"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Kappa-casein","190","162811","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos lactotransferrin","708","30794292","8"
"Bertholletia excelsa","Brazil nut","Ber e 2","Food Plant","Bertholletia 11S globulin","465","30313867","7"
"Bertholletia excelsa","Brazil nut","Unassigned","Food Plant","Bertholletia Ber e 1","154","17713","7"
"Bertholletia excelsa","Brazil nut","Ber e 1","Food Plant","Bertholletia Ber e 1","146","112754","7"
"Solenopsis saevissima","Brazilian fire ant","Unassigned","Venom or Salivary","Solenopsis Venom allergen IV","137","291092710","12"
"Salvelinus fontinalis","Brook trout","Unassigned","Food Animal","Salvelinus parvalbumin","109","288557438","11"
"Salvelinus fontinalis","Brook trout","Unassigned","Food Animal","Salvelinus parvalbumin","108","288557440","11"
"Helix aspersa","Brown garden snail","Unassigned","Food Animal","Helix Hel as 1 tropomyosin","284","42559558","9"
"Farfantepenaeus aztecus","Brown shrimp","Pen a 1","Food Animal","Farfantepenaeus Pen a 1","284","73532979","7"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum BW 16kDa allergen","127","61970231","7"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum BW 16kDa allergen","149","83416591","7"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum BW 8 kDa protein","133","17907758","7"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","565","29839254","9"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","504","29839255","9"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","538","29839419","9"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum vicilin-like protein","136","146217148","9"
"Fagopyrum gracilipes","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","191","6979766","7"
"Fagopyrum tataricum","Buckwheat","Unassigned","Food Plant","Fagopyrum BW 16kDa allergen","149","320445237","12"
"Fagopyrum tataricum","Buckwheat","Unassigned","Food Plant","Fagopyrum BW 8 kDa protein","133","144228127","8"
"Fagopyrum tataricum","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","515","113200131","9"
"Bombus pennsylvanicus","Bumblebee","Unassigned","Venom or Salivary","Bombus Bom p 1 phospholipase","136","47117013","12"
"Bombus pennsylvanicus","Bumblebee","Unassigned","Venom or Salivary","Bombus Bom p 4 protease","243","75009997","12"
"Bombus terrestris","Bumblebee","Unassigned","Venom or Salivary","Bombus Bom t 1","136","14423832","7"
"Bombus terrestris","Bumblebee","Unassigned","Venom or Salivary","Bombus Bom t 4 protease","20","313471465","12"
"Brassica oleracea","Cabbage","Unassigned","Food Plant","Brassica Bra o 3 LTP manual entry","20","1","8"
"Phalaris aquatica","Canary grass","Unassigned","Aero Plant","Phalaris Pha a 1","20","409328","7"
"Phalaris aquatica","Canary grass","Pha a 1","Aero Plant","Phalaris Pha a 1","269","2498576","7"
"Phalaris aquatica","Canary grass","Unassigned","Aero Plant","Phalaris Pha a 5","320","2498577","7"
"Phalaris aquatica","Canary grass","Unassigned","Aero Plant","Phalaris Pha a 5","305","2498578","7"
"Phalaris aquatica","Canary grass","Unassigned","Aero Plant","Phalaris Pha a 5","294","2498579","7"
"Phalaris aquatica","Canary grass","Unassigned","Aero Plant","Phalaris Pha a 5","175","2498580","7"
"Cyprinus carpio","Carp","Unassigned","Food Animal","Cyprinus Parvalbumin","109","17977825","7"
"Cyprinus carpio","Carp","Unassigned","Food Animal","Cyprinus Parvalbumin","109","17977827","7"
"Daucus carota","Carrot","Dau c 1.0101","Food Plant","Daucus Dau c 1","168","1335877","7"
"Daucus carota","Carrot","Dau c 1.0102","Food Plant","Daucus Dau c 1","154","1663522","7"
"Daucus carota","Carrot","Dau c 1.0103","Food Plant","Daucus Dau c 1","154","2154732","7"
